PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
3236197,347.4150000000001,2.4412000000000003,1.0,3.0,52.650000000000006,6.0,2.0,1.0,1.0,1.0,7.0,3.0,24.0,1.0,0.0,1.0,126.0,0.0,2.0,3.0,0
2234677,333.85100000000006,2.6776,1.0,8.0,80.66000000000001,4.0,2.0,0.0,2.0,0.0,10.0,2.0,19.0,0.0,0.0,0.0,100.0,0.0,2.0,1.0,0
1518984,266.32199999999995,1.0943999999999998,0.0,6.0,60.66,3.0,1.0,0.0,1.0,2.0,6.0,3.0,18.0,2.0,2.0,0.0,96.0,0.0,1.0,0.0,0
2834471,294.73800000000006,1.3040999999999996,0.0,4.0,49.85,2.0,1.0,1.0,0.0,2.0,6.0,3.0,20.0,2.0,0.0,2.0,106.0,0.0,2.0,2.0,0
801624,244.319,2.8124,1.0,3.0,41.99,4.0,2.0,1.0,1.0,0.0,4.0,2.0,17.0,0.0,0.0,0.0,86.0,0.0,1.0,1.0,0
1247018,280.30500000000006,2.39184,1.0,6.0,81.42999999999999,3.0,2.0,0.0,2.0,0.0,7.0,2.0,19.0,0.0,0.0,0.0,100.0,0.0,2.0,1.0,0
666862,322.3640000000001,3.172500000000002,1.0,4.0,60.33,3.0,3.0,2.0,1.0,0.0,5.0,3.0,24.0,0.0,0.0,0.0,122.0,0.0,1.0,1.0,0
2567826,444.6070000000003,5.593740000000004,0.0,9.0,73.81,5.0,4.0,0.0,4.0,1.0,9.0,5.0,29.0,1.0,1.0,0.0,150.0,0.0,4.0,0.0,0
3245521,455.5360000000002,3.4731400000000026,0.0,6.0,92.95,6.0,3.0,2.0,1.0,0.0,9.0,4.0,32.0,1.0,0.0,1.0,168.0,0.0,2.0,1.0,0
645704,408.54900000000026,2.878400000000001,1.0,7.0,84.42,8.0,2.0,0.0,2.0,1.0,9.0,3.0,27.0,1.0,1.0,0.0,146.0,0.0,2.0,2.0,0
697506,331.85,3.190800000000001,1.0,5.0,71.95,5.0,2.0,1.0,1.0,0.0,8.0,2.0,20.0,0.0,0.0,0.0,108.0,0.0,1.0,0.0,0
3235460,295.342,3.381600000000001,0.0,5.0,51.39,5.0,3.0,1.0,2.0,0.0,5.0,3.0,22.0,0.0,0.0,0.0,112.0,0.0,2.0,0.0,0
2961825,333.39100000000013,3.153340000000002,0.0,4.0,55.2,3.0,3.0,2.0,1.0,1.0,5.0,4.0,25.0,1.0,0.0,1.0,126.0,0.0,2.0,2.0,1
646479,312.41700000000014,3.1751000000000014,0.0,4.0,51.02,2.0,2.0,1.0,1.0,2.0,5.0,4.0,23.0,2.0,1.0,1.0,122.0,0.0,2.0,1.0,0
2576680,339.37700000000007,0.6924999999999999,3.0,7.0,122.02,7.0,2.0,0.0,2.0,0.0,10.0,2.0,23.0,0.0,0.0,0.0,124.0,0.0,2.0,3.0,0
832838,308.33700000000005,3.6040000000000014,1.0,4.0,62.13,5.0,2.0,2.0,0.0,0.0,5.0,3.0,23.0,1.0,0.0,1.0,116.0,0.0,1.0,0.0,0
5389488,454.52700000000016,2.5766400000000003,2.0,7.0,115.83,8.0,2.0,0.0,2.0,1.0,9.0,3.0,33.0,1.0,0.0,1.0,176.0,0.0,3.0,1.0,0
654485,472.5930000000002,3.844700000000003,1.0,6.0,85.05,9.0,4.0,2.0,2.0,0.0,8.0,4.0,35.0,0.0,0.0,0.0,182.0,0.0,2.0,2.0,0
1491025,342.464,5.040320000000005,0.0,4.0,46.38,5.0,2.0,2.0,0.0,1.0,5.0,3.0,24.0,1.0,0.0,1.0,126.0,0.0,1.0,0.0,1
2955378,355.36,2.4332000000000003,3.0,3.0,70.23,3.0,1.0,1.0,0.0,2.0,8.0,3.0,25.0,2.0,1.0,1.0,136.0,0.0,1.0,2.0,0
759769,280.33500000000004,2.0511,0.0,5.0,70.1,3.0,2.0,1.0,1.0,1.0,6.0,3.0,21.0,1.0,0.0,1.0,106.0,0.0,2.0,0.0,0
118365293,325.372,2.891700000000001,3.0,4.0,91.93,5.0,3.0,1.0,2.0,0.0,7.0,3.0,24.0,0.0,0.0,0.0,124.0,0.0,2.0,2.0,1
658391,361.1990000000002,2.9320000000000013,0.0,6.0,59.84,1.0,2.0,1.0,1.0,1.0,7.0,4.0,22.0,2.0,0.0,2.0,112.0,0.0,3.0,0.0,0
