PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
3240187,271.364,3.1455800000000016,1.0,3.0,46.92,4.0,2.0,1.0,1.0,0.0,4.0,2.0,20.0,0.0,0.0,0.0,106.0,0.0,1.0,1.0,0
5308128,283.335,2.883440000000001,1.0,6.0,64.34,4.0,3.0,1.0,2.0,0.0,6.0,3.0,21.0,0.0,0.0,0.0,108.0,0.0,2.0,0.0,0
763095,302.20100000000014,3.7748000000000026,0.0,2.0,29.54,3.0,1.0,1.0,0.0,1.0,5.0,2.0,19.0,1.0,0.0,1.0,104.0,0.0,1.0,1.0,0
644470,492.3660000000003,4.113900000000003,1.0,7.0,83.09,6.0,1.0,1.0,0.0,0.0,8.0,4.0,31.0,3.0,1.0,2.0,166.0,0.0,2.0,0.0,0
762456,251.285,4.041120000000001,1.0,3.0,42.35,2.0,3.0,2.0,1.0,0.0,3.0,3.0,19.0,0.0,0.0,0.0,94.0,0.0,1.0,0.0,0
5459583,501.5830000000002,4.643600000000005,1.0,6.0,97.82999999999998,9.0,3.0,2.0,1.0,0.0,8.0,3.0,37.0,0.0,0.0,0.0,192.0,0.0,1.0,2.0,0
646794,354.362,2.4319000000000006,1.0,6.0,92.87,5.0,2.0,0.0,2.0,1.0,7.0,4.0,26.0,2.0,0.0,2.0,134.0,0.0,4.0,1.0,0
589306,161.16400000000002,1.1824,1.0,4.0,50.94,1.0,2.0,1.0,1.0,0.0,4.0,2.0,12.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0,0
650342,417.4830000000002,2.750000000000001,0.0,6.0,82.14000000000001,5.0,2.0,2.0,0.0,1.0,8.0,4.0,29.0,2.0,0.0,2.0,154.0,0.0,2.0,0.0,0
2115438,499.6180000000004,2.8828000000000014,1.0,8.0,106.42,9.0,3.0,2.0,1.0,1.0,11.0,4.0,34.0,1.0,0.0,1.0,178.0,0.0,2.0,1.0,0
717668,301.298,3.179800000000001,2.0,5.0,84.86,4.0,2.0,2.0,0.0,0.0,6.0,2.0,22.0,0.0,0.0,0.0,114.0,0.0,0.0,1.0,0
114924,288.497,5.505300000000005,1.0,2.0,37.3,15.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0
92044557,407.4340000000001,1.7123,3.0,5.0,123.32,4.0,3.0,1.0,2.0,1.0,10.0,4.0,30.0,1.0,0.0,1.0,154.0,0.0,3.0,4.0,1
2917807,300.18100000000004,3.0956900000000016,2.0,4.0,53.84,2.0,2.0,1.0,1.0,0.0,6.0,2.0,16.0,0.0,0.0,0.0,84.0,0.0,1.0,0.0,0
685688,270.317,2.3279000000000005,1.0,5.0,71.53,4.0,3.0,1.0,2.0,0.0,6.0,3.0,19.0,0.0,0.0,0.0,94.0,0.0,2.0,0.0,0
654587,479.5330000000003,3.439900000000001,2.0,6.0,114.02,10.0,3.0,1.0,2.0,1.0,9.0,4.0,35.0,1.0,1.0,0.0,184.0,0.0,2.0,3.0,0
3239903,344.41800000000006,3.805080000000003,0.0,5.0,52.71,2.0,4.0,2.0,2.0,0.0,5.0,4.0,26.0,0.0,0.0,0.0,130.0,0.0,2.0,0.0,0
887918,259.261,2.6115200000000005,1.0,4.0,60.7,2.0,2.0,1.0,1.0,0.0,5.0,3.0,19.0,1.0,0.0,1.0,98.0,0.0,2.0,1.0,0
1247454,244.275,3.1416000000000013,1.0,4.0,55.13,2.0,3.0,1.0,2.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,84.0,0.0,2.0,1.0,0
5309112,458.51100000000025,3.3636000000000026,0.0,6.0,80.06,6.0,3.0,2.0,1.0,1.0,9.0,4.0,32.0,1.0,0.0,1.0,168.0,0.0,2.0,1.0,0
1015180,418.5150000000003,3.277400000000002,1.0,5.0,84.93999999999998,7.0,2.0,2.0,0.0,1.0,8.0,3.0,29.0,1.0,0.0,1.0,156.0,0.0,1.0,1.0,0
281622,147.13000000000002,-0.8646999999999996,3.0,3.0,86.63000000000001,5.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0
3233757,393.4870000000001,4.595500000000005,1.0,3.0,61.88000000000001,2.0,2.0,2.0,0.0,2.0,6.0,4.0,29.0,2.0,0.0,2.0,152.0,1.0,2.0,3.0,0
706106,347.41700000000014,4.498600000000003,1.0,6.0,68.53999999999999,5.0,3.0,0.0,3.0,0.0,7.0,3.0,23.0,0.0,0.0,0.0,118.0,0.0,3.0,1.0,0
663099,335.7950000000001,3.356900000000002,0.0,6.0,56.49,4.0,3.0,1.0,2.0,0.0,8.0,3.0,22.0,0.0,0.0,0.0,112.0,0.0,2.0,0.0,0
663504,280.4220000000001,2.3734,1.0,6.0,55.04,2.0,2.0,0.0,2.0,0.0,6.0,3.0,18.0,1.0,0.0,1.0,96.0,0.0,3.0,0.0,0
912382,289.37499999999994,3.3241000000000023,1.0,3.0,47.56,6.0,1.0,1.0,0.0,0.0,4.0,2.0,21.0,1.0,1.0,0.0,114.0,0.0,0.0,1.0,0
2952806,314.3890000000001,1.0331999999999997,2.0,4.0,73.8,3.0,1.0,1.0,0.0,1.0,6.0,3.0,23.0,2.0,0.0,2.0,122.0,0.0,2.0,2.0,0
667300,367.43400000000014,2.986800000000001,1.0,7.0,85.32000000000001,3.0,4.0,0.0,4.0,0.0,8.0,5.0,26.0,1.0,1.0,0.0,132.0,0.0,4.0,1.0,0
987854,404.42600000000016,2.10922,1.0,6.0,93.41000000000004,5.0,3.0,2.0,1.0,0.0,8.0,4.0,30.0,1.0,0.0,1.0,152.0,0.0,2.0,3.0,0
653177,464.57600000000014,4.404600000000002,2.0,8.0,101.8,8.0,4.0,1.0,3.0,0.0,10.0,4.0,32.0,0.0,0.0,0.0,162.0,0.0,3.0,2.0,0
3245062,444.4130000000002,4.832820000000003,2.0,6.0,77.41000000000001,3.0,3.0,2.0,1.0,0.0,10.0,5.0,32.0,2.0,0.0,2.0,166.0,0.0,3.0,1.0,0
2887381,321.329,1.5204999999999995,2.0,5.0,94.09000000000002,5.0,1.0,1.0,0.0,2.0,7.0,3.0,23.0,2.0,0.0,2.0,124.0,0.0,2.0,1.0,0
3243680,313.44400000000013,2.4850000000000003,1.0,4.0,63.24,2.0,1.0,0.0,1.0,1.0,6.0,3.0,20.0,2.0,1.0,1.0,110.0,0.0,2.0,1.0,0
1314008,394.50000000000017,3.148880000000002,0.0,4.0,67.65,3.0,2.0,2.0,0.0,1.0,7.0,3.0,28.0,1.0,0.0,1.0,144.0,0.0,1.0,3.0,0
654987,419.50600000000026,4.8967000000000045,1.0,4.0,65.79,2.0,3.0,2.0,1.0,1.0,7.0,5.0,30.0,2.0,0.0,2.0,152.0,0.0,3.0,3.0,0
3239714,494.5410000000003,3.8399000000000014,1.0,7.0,98.5,8.0,3.0,2.0,1.0,1.0,11.0,4.0,33.0,1.0,0.0,1.0,174.0,0.0,2.0,1.0,0
3238237,294.354,2.836500000000001,1.0,3.0,43.26,6.0,3.0,2.0,1.0,0.0,4.0,3.0,22.0,0.0,0.0,0.0,112.0,0.0,1.0,1.0,0
240782,247.258,1.225,1.0,6.0,89.77000000000001,3.0,2.0,0.0,2.0,0.0,7.0,2.0,18.0,0.0,0.0,0.0,94.0,0.0,2.0,1.0,0
3151,425.9200000000001,3.353200000000002,2.0,5.0,78.82,5.0,4.0,2.0,2.0,1.0,8.0,5.0,30.0,1.0,0.0,1.0,156.0,0.0,3.0,0.0,0
651612,230.094,3.0013200000000007,1.0,1.0,29.1,2.0,1.0,1.0,0.0,0.0,4.0,1.0,14.0,0.0,0.0,0.0,74.0,0.0,0.0,1.0,0
2949338,308.4220000000001,2.4115,1.0,4.0,50.8,9.0,1.0,1.0,0.0,0.0,5.0,1.0,22.0,0.0,0.0,0.0,124.0,0.0,0.0,1.0,0
16758840,448.5120000000003,4.150100000000004,0.0,8.0,81.68,10.0,1.0,1.0,0.0,0.0,8.0,2.0,32.0,1.0,0.0,1.0,176.0,0.0,1.0,0.0,0
871369,289.356,2.831100000000001,1.0,3.0,63.24,5.0,2.0,2.0,0.0,0.0,5.0,2.0,20.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0
5309138,441.5530000000002,2.3917200000000003,2.0,4.0,95.58,6.0,2.0,2.0,0.0,1.0,8.0,4.0,31.0,2.0,0.0,2.0,164.0,0.0,2.0,2.0,0
646594,390.4940000000001,2.6354000000000006,1.0,9.0,94.82000000000002,7.0,3.0,1.0,2.0,0.0,10.0,3.0,26.0,0.0,0.0,0.0,136.0,0.0,2.0,1.0,0
3239496,434.5140000000004,2.2728200000000003,0.0,7.0,91.1,6.0,2.0,1.0,1.0,2.0,9.0,4.0,30.0,2.0,0.0,2.0,162.0,1.0,3.0,1.0,0
3242756,364.4010000000001,3.5573000000000023,0.0,5.0,64.8,4.0,3.0,2.0,1.0,0.0,6.0,4.0,27.0,1.0,0.0,1.0,138.0,0.0,2.0,1.0,0
3240236,298.745,2.3566000000000003,1.0,2.0,49.41,3.0,1.0,1.0,0.0,1.0,6.0,2.0,20.0,1.0,0.0,1.0,108.0,0.0,1.0,2.0,0
868903,318.3980000000002,3.2696200000000024,2.0,4.0,85.33000000000001,3.0,2.0,0.0,2.0,0.0,6.0,3.0,22.0,1.0,1.0,0.0,116.0,0.0,2.0,2.0,0
