PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
2198996,379.36800000000005,2.9720000000000013,1.0,6.0,94.84000000000002,7.0,3.0,2.0,1.0,0.0,7.0,3.0,28.0,0.0,0.0,0.0,142.0,0.0,1.0,1.0,0
713871,327.2660000000001,1.1867999999999992,2.0,5.0,88.91,4.0,2.0,1.0,1.0,0.0,10.0,2.0,23.0,0.0,0.0,0.0,122.0,0.0,1.0,2.0,0
2224305,358.4440000000001,3.222500000000002,1.0,5.0,76.13,5.0,3.0,2.0,1.0,0.0,7.0,3.0,24.0,0.0,0.0,0.0,122.0,0.0,1.0,1.0,1
1078318,355.4190000000002,1.9838,0.0,6.0,64.43,3.0,3.0,1.0,2.0,1.0,7.0,4.0,25.0,1.0,0.0,1.0,128.0,0.0,3.0,1.0,0
3234437,344.41800000000006,4.822160000000004,1.0,5.0,63.84,4.0,4.0,2.0,2.0,0.0,5.0,4.0,26.0,0.0,0.0,0.0,130.0,0.0,2.0,0.0,0
644412,376.4120000000001,4.180500000000004,2.0,5.0,71.03,4.0,3.0,3.0,0.0,0.0,6.0,4.0,28.0,1.0,0.0,1.0,142.0,0.0,1.0,1.0,0
659526,172.238,0.7359800000000001,1.0,6.0,75.59,2.0,1.0,0.0,1.0,0.0,6.0,1.0,10.0,0.0,0.0,0.0,52.0,0.0,1.0,0.0,0
71529214,478.5030000000002,3.991400000000003,2.0,7.0,93.96,8.0,4.0,2.0,2.0,1.0,10.0,5.0,35.0,1.0,1.0,0.0,180.0,0.0,2.0,1.0,1
3243421,338.4070000000001,3.1579400000000017,1.0,3.0,58.64,5.0,2.0,2.0,0.0,0.0,5.0,3.0,25.0,1.0,0.0,1.0,130.0,0.0,1.0,2.0,0
2157626,410.5390000000002,3.784220000000003,0.0,4.0,59.38,5.0,3.0,2.0,1.0,1.0,6.0,4.0,29.0,1.0,0.0,1.0,152.0,0.0,2.0,1.0,0
